respondent_id,books_read_1year,print_books,audiobooks,ebooks,smartphone,ebook_reader,tablet,laptop,gender,age,education,is_frequent_reader
100001,10.0,yes,yes,yes,yes,yes,no,yes,,34.0,Two-year associate degree,1
100003,4.0,yes,no,no,no,no,no,yes,,53.0,Two-year associate degree,0
100005,7.0,no,no,no,yes,no,yes,yes,,49.0,Four-year college degree or bachelor's degree,1
100009,30.0,yes,no,no,yes,no,no,yes,,73.0,"Some college, no degree",1
100014,15.0,yes,no,yes,yes,yes,yes,no,,63.0,Unknown,1
100016,8.0,yes,yes,no,yes,no,yes,yes,,85.0,Unknown,1
100017,0.0, , , ,yes,no,no,yes,,34.0,"Some college, no degree",0
100019,12.0,yes,no,yes,yes,no,yes,yes,,69.0,Unknown,1
100022,0.0, , , ,no,no,no,yes,,73.0,Two-year associate degree,0
100026,10.0,yes,no,yes,yes,yes,no,yes,,35.0,"Some college, no degree",1
100028,2.0,yes,no,no,yes,no,no,yes,,60.0,Unknown,0
100030,0.0, , , ,no,no,no,no,,50.0,High school graduate or GED,0
100031,6.0,yes,no,no,yes,no,no,yes,,18.0,"Some college, no degree",1
100035,7.0,yes,no,no,yes,no,yes,yes,,50.0,Postgraduate or professional degree,1
100039,9.0,yes,no,no,no,no,no,yes,,87.0,Unknown,1
100042,7.0,yes,no,yes,yes,no,yes,yes,,59.0,Unknown,1
100053,75.0,yes,no,yes,yes,yes,yes,yes,,48.0,Postgraduate or professional degree,1
100054,0.0, , , ,yes,no,no,no,,92.0,Two-year associate degree,0
100062,20.0,yes,no,yes,yes,yes,yes,yes,,50.0,Four-year college degree or bachelor's degree,1
100084,97.0,yes,no,no,yes,no,no,no,,94.0,Unknown,1
100086,0.0, , , ,yes,no,no,yes,,18.0,"Some college, no degree",0
100094,0.0, , , ,yes,no,no,yes,,67.0,Two-year associate degree,0
100098,8.0,yes,no,no,yes,no,no,yes,,43.0,Postgraduate or professional degree,1
100100,3.0,yes,no,no,yes,no,yes,no,,83.0,Two-year associate degree,0
100108,50.0,yes,yes,yes,yes,no,no,yes,,78.0,"Some college, no degree",1
100118,0.0, , , ,no,no,no,no,,79.0,Less than high school,0
100120,30.0,yes,no,no,yes,yes,yes,yes,,58.0,Postgraduate or professional degree,1
100124,4.0,yes,no,no,yes,no,no,yes,,26.0,Postgraduate or professional degree,0
100125,0.0, , , ,yes,no,yes,yes,,80.0,Four-year college degree or bachelor's degree,0
100135,2.0,yes,no,no,yes,no,no,yes,,59.0,Two-year associate degree,0
100139,2.0,yes,no,no,yes,no,no,no,,50.0,Four-year college degree or bachelor's degree,0
100140,7.0,yes,no,yes,yes,no,yes,yes,,16.0,High school graduate or GED,1
100143,4.0,yes,no,no,no,no,no,yes,,90.0,Four-year college degree or bachelor's degree,0
100145,0.0, , , ,yes,no,yes,yes,,52.0,"Some college, no degree",0
100151,2.0,no,no,yes,yes,no,yes,yes,,41.0,Postgraduate or professional degree,0
100155,5.0,yes,no,no,no,no,no,no,,41.0,"Some college, no degree",1
100158,30.0,yes,no,yes,yes,yes,yes,yes,,58.0,Unknown,1
100160,0.0, , , ,no,no,no,no,,90.0,"Some college, no degree",0
100167,0.0, , , ,no,no,no,no,,73.0,Less than high school,0
100173,5.0,yes,no,yes,yes,no,yes,yes,,47.0,Postgraduate or professional degree,1
100180,12.0,yes,no,no,yes,no,yes,no,,58.0,Postgraduate or professional degree,1
100181,3.0,yes,no,no,yes,no,no,no,,67.0,Two-year associate degree,0
100186,, , , ,yes,no,no,no,,84.0,"Some college, no degree",0
100188,0.0, , , ,yes,no,no,yes,,75.0,Two-year associate degree,0
100190,1.0,yes,no,no,yes,no,yes,yes,,55.0,Two-year associate degree,0
100197,2.0,yes,no,no,no,no,no,no,,68.0,"Some college, no degree",0
100204,3.0,yes,no,no,yes,no,no,no,,39.0,Less than high school,0
100205,12.0,yes,yes,no,yes,no,yes,yes,,57.0,Postgraduate or professional degree,1
100207,30.0,yes,yes,yes,yes,yes,no,yes,,23.0,Postgraduate or professional degree,1
100208,4.0,yes,no,yes,yes,yes,yes,yes,,54.0,Four-year college degree or bachelor's degree,0
100211,97.0,yes,no,no,yes,no,no,yes,,69.0,Two-year associate degree,1
100215,20.0,yes,no,no,yes,no,no,yes,,80.0,"Some college, no degree",1
100219,30.0,yes,yes,yes,yes,yes,yes,yes,,42.0,Postgraduate or professional degree,1
100222,6.0,yes,no,no,no,no,no,yes,,84.0,Postgraduate or professional degree,1
100225,75.0,yes,no,no,yes,,no,yes,,74.0,Two-year associate degree,1
100228,97.0,yes,no,yes,yes,no,yes,yes,,34.0,Unknown,1
100242,6.0,yes,no,no,no,no,no,no,,67.0,Unknown,1
100252,5.0,yes,no,no,yes,no,yes,yes,,19.0,"Some college, no degree",1
100254,6.0,yes,no,no,no,no,no,no,,79.0,"Some college, no degree",1
100259,0.0, , , ,yes,no,no,no,,68.0,High school graduate or GED,0
100266,50.0,yes,no,yes,yes,yes,no,yes,,64.0,Unknown,1
100267,0.0, , , ,no,no,no,yes,,53.0,"Some college, no degree",0
100273,25.0,yes,yes,yes,yes,no,yes,yes,,50.0,Unknown,1
100274,0.0, , , ,yes,no,yes,yes,,50.0,Four-year college degree or bachelor's degree,0
100277,0.0, , , ,yes,no,no,no,,84.0,"Some college, no degree",0
100282,10.0,yes,no,yes,yes,no,yes,yes,,17.0,High school graduate or GED,1
100287,15.0,yes,no,yes,yes,no,no,yes,,70.0,"Some college, no degree",1
100288,0.0, , , ,yes,no,yes,no,,52.0,Two-year associate degree,0
100291,1.0,yes,no,no,yes,no,yes,yes,,58.0,Postgraduate or professional degree,0
100301,, , , ,yes,no,no,yes,,59.0,"Some college, no degree",0
100302,6.0,yes,no,no,yes,no,no,yes,,55.0,Unknown,1
100305,0.0, , , ,yes,no,yes,no,,44.0,Postgraduate or professional degree,0
100316,97.0,yes,no,no,yes,no,no,yes,,65.0,Postgraduate or professional degree,1
100321,0.0, , , ,yes,no,no,yes,,53.0,Four-year college degree or bachelor's degree,0
100322,8.0,yes,yes,yes,yes,yes,yes,yes,,74.0,Postgraduate or professional degree,1
100323,2.0,yes,no,no,yes,no,yes,yes,,39.0,Postgraduate or professional degree,0
100327,, , , ,yes,no,no,yes,,79.0,Two-year associate degree,0
100333,0.0, , , ,yes,no,no,yes,,70.0,"Some college, no degree",0
100338,10.0,yes,no,yes,yes,no,yes,yes,,61.0,Postgraduate or professional degree,1
100339,97.0,yes,yes,no,yes,no,yes,yes,,38.0,Postgraduate or professional degree,1
100341,3.0,yes,no,no,yes,no,yes,yes,,34.0,"Some college, no degree",0
100345,0.0, , , ,yes,no,yes,yes,,51.0,Unknown,0
100351,8.0,yes,no,no,yes,no,no,yes,,37.0,Postgraduate or professional degree,1
100353,30.0,yes,no,no,yes,no,yes,yes,,50.0,Four-year college degree or bachelor's degree,1
100355,50.0,yes,no,yes,yes,yes,yes,no,,41.0,Unknown,1
100365,2.0,yes,no,no,yes,no,no,yes,,86.0,Four-year college degree or bachelor's degree,0
100367,1.0,yes,no,no,yes,no,no,no,,84.0,High school graduate or GED,0
100370,0.0, , , ,yes,no,no,yes,,69.0,"Some college, no degree",0
100373,5.0,yes,no,no,yes,no,no,yes,,68.0,Postgraduate or professional degree,1
100375,20.0,yes,yes,no,yes,no,yes,yes,,41.0,Postgraduate or professional degree,1
100377,4.0,yes,no,yes,yes,no,yes,yes,,54.0,Two-year associate degree,0
100378,0.0, , , ,yes,no,no,yes,,48.0,Postgraduate or professional degree,0
100380,12.0,yes,no,no,no,no,no,no,,91.0,Less than high school,1
100385,97.0,yes,no,yes,yes,yes,yes,yes,,53.0,Postgraduate or professional degree,1
100394,4.0,yes,yes,yes,yes,yes,yes,yes,,52.0,"Some college, no degree",0
100396,0.0, , , ,no,no,no,no,,87.0,"Some college, no degree",0
100408,1.0,yes,no,no,yes,no,no,yes,,63.0,Four-year college degree or bachelor's degree,0
100410,12.0,yes,no,no,yes,no,yes,yes,,49.0,Four-year college degree or bachelor's degree,1
100411,60.0,yes,no,no,yes,no,no,yes,,45.0,Unknown,1
100413,0.0, , , ,no,no,no,no,,63.0,High school graduate or GED,0
100422,0.0, , , ,yes,no,no,no,,63.0,"Some college, no degree",0
